"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27327,"Shallow",0.306,0.134,0.36,5.648,98.22,0.214,0.406,33.24,2.96,14.994,654,-11.62,33.833333,-118.64,36.6,1993,1,"Light","Oceánica"
27327,"Intermediate",0.105,0.0533333333333333,6.38333333333333,4.84833333333333,81.95,0.136666666666667,0.813333333333333,33.3433333333333,7.01666666666667,13.54,654,-11.62,33.833333,-118.64,36.6,1993,1,"Light","Oceánica"
27327,"Deep",0.02,0.004,28.3933333333333,2.032,31.6266666666667,0.048,2.26933333333333,34.012,42.3066666666667,8.62666666666667,654,-11.62,33.833333,-118.64,36.6,1993,1,"Intermediate","Oceánica"
27328,"Very shallow",0.876666666666667,0.248333333333333,2.46666666666667,5.745,99.325,0.318333333333333,0.783333333333333,31.999,7.7,14.9,56,-3.63,33.89,-118.491666,24.1,1993,1,"Light","Oceánica"
27328,"Shallow",0.243333333333333,0.178333333333333,1,5.54166666666667,95.7666666666667,0.328333333333333,0.67,32.9791666666667,4.7,14.7616666666667,56,-3.63,33.89,-118.491666,24.1,1993,1,"Light","Oceánica"
27329,"Very shallow",0.758,0.04,0.5,5.868,100.38,0.362,0.414,33.193,3.2,14.2,705,-31.33,33.655,-118.976666,46.1,1993,1,"Light","Oceánica"
27329,"Shallow",0.553333333333333,0.0816666666666667,1.36666666666667,5.71,97.1833333333333,0.418333333333333,0.475,33.2493333333333,3.81666666666667,13.9383333333333,705,-31.33,33.655,-118.976666,46.1,1993,1,"Light","Oceánica"
27329,"Intermediate",0.0933333333333333,0.065,12.75,4.26333333333333,69.4,0.18,1.18,33.4578333333333,12.75,11.6916666666667,705,-31.33,33.655,-118.976666,46.1,1993,1,"Light","Oceánica"
27329,"Deep",0.0116666666666667,0.005,29.6625,1.9075,29.3375,0.0716666666666667,2.334375,34.0633125,44.85625,8.316875,705,-31.33,33.655,-118.976666,46.1,1993,1,"Intermediate","Oceánica"
27330,"Very shallow",0.832,0.028,0.24,5.894,100.8,0.472,0.404,33.2154,3.12,14.194,1639,-51.14,33.49,-119.32,38.4,1993,1,"Light","Transición"
27330,"Shallow",0.411666666666667,0.155,2.76666666666667,5.44333333333333,92,0.333333333333333,0.608333333333333,33.2846666666667,5.08333333333333,13.5766666666667,1639,-51.14,33.49,-119.32,38.4,1993,1,"Light","Transición"
27330,"Intermediate",0.0783333333333333,0.0483333333333333,15.0166666666667,4.05833333333333,65.1166666666667,0.128333333333333,1.35166666666667,33.5038333333333,15.8666666666667,10.9933333333333,1639,-51.14,33.49,-119.32,38.4,1993,1,"Intermediate","Transición"
27330,"Deep",0.0166666666666667,0.004375,30.1875,1.8475,28.43125,0.0583333333333333,2.363125,34.07,44.73125,8.391875,1639,-51.14,33.49,-119.32,38.4,1993,1,"Intermediate","Transición"
27331,"Very shallow",0.516666666666667,0.0666666666666667,1.16666666666667,5.69,97.3333333333333,0.306666666666667,0.486666666666667,33.2553333333333,3.86666666666667,14.17,78,-71.03,33.323333,-119.663333,19.7,1993,1,"Light","Transición"
27331,"Shallow",0.226,0.176,5.06,5.138,86.18,0.26,0.766,33.3534,7.38,13.17,78,-71.03,33.323333,-119.663333,19.7,1993,1,"Light","Transición"
